,state,district,repcandidate,demcandidate,rep_score,rep_incumbent,dem_incumbent,state_fips,minority_percentage,pres_approval,same_as_pres_party_rep,same_as_pres_party_dem,log_med_income,year,dem_percent,dem_is_female,rep_is_female,rep_primary_percent,dem_primary_percent,labor_force
8815,Ohio,5,"Latta, Delbert L.","Edwards, Bruce",0.7275,True,False,39,,,,,,1972,,,,,,
8816,Ohio,4,"Guyer, Tennyson","Nicholas, Dimitri",0.627,False,False,39,,,,,,1972,,,,,,
8817,Ohio,3,"Whalen, Charles W.","Lelak, John W.",0.7615999999999999,True,False,39,,,,,,1972,,,,,,
8818,Ohio,2,"Clancy, Donald D.","Manes, Penny",0.6275999999999999,True,False,39,,,,,,1972,,,,,,
8819,Ohio,1,"Keating, William J.","Heiser, Karl F.",0.7026,True,False,39,,,,,,1972,,,,,,
8820,North Carolina,11,"Ledbetter, Jesse I.","Taylor, Roy A.",0.40409999999999996,False,True,37,,,,,,1972,,,,,,
8821,North Carolina,10,"Broyhill, James Thomas","Beck, Paul L.",0.7254999999999999,True,False,37,,,,,,1972,,,,,,
8822,North Carolina,9,"Martin, James G.","Beatty, James",0.5886,False,False,37,,,,,,1972,,,,,,
8823,North Carolina,8,"Ruth, Earl B.","Clark, Richard",0.6022,True,False,37,,,,,,1972,,,,,,
8824,North Carolina,7,"Scott, Jerry C.","Rose, Charles G.",0.39039999999999997,False,False,37,,,,,,1972,,,,,,
8825,North Carolina,5,"Mizell, Wilmer D.","Hays, Brooks",0.6483,True,False,37,,,,,,1972,,,,,,
8826,Washington,1,"Pritchard, Joel","Hempelmann, John",0.5062,False,False,53,,,,,,1972,,,,,,
8827,New York,37,"McLaughlin, William F.","Nowak, Henry J.",0.2779,False,False,36,,,,,,1972,,,,,,
8828,Colorado,2,"Brotzman, Donald G.","Brush, Francis W.",0.6648999999999999,True,False,8,,,,,,1972,,,,,,
8829,Colorado,1,"McKevitt, James D.","Schroeder, Patricia",0.4793,True,False,8,,,,,,1972,,,,,,
8830,California,7,"Hannaford, Peter","Dellums, Ronald V.",0.4056,False,True,6,,,,,,1972,,,,,,
8831,California,13,"Teague, Charles M.","Cleveland, Lester D.",0.7392,True,False,6,,,,,,1972,,,,,,
8832,California,12,"Talgott, Burt L.","Camacho, Julian",0.5563,False,False,6,,,,,,1972,,,,,,
8833,California,11,"Chase, Charles E.","Ryan, Leo J.",0.3789,False,False,6,,,,,,1972,,,,,,
8834,California,10,"Gubser, Charles S.","Gillette, B. Frank",0.6462,True,False,6,,,,,,1972,,,,,,
8835,Alabama,6,"Buchanan, John H. Jr.","Erdaeich, Ben",0.6267,True,False,1,,,,,,1972,,,,,,
