,district,CANDIDATE NAME,PARTY,PRIMARY %,YEAR
268,IL13,"Biggert, Judy",R,100.00%,2010
269,IL13,"Harper, Scott",D,100.00%,2010
270,IL14,"Hultgren, Randall M. ""Randy""",R,54.71%,2010
271,IL14,"Foster, Bill",D,100.00%,2010
272,IL15,"Johnson, Timothy V.",R,100.00%,2010
273,IL15,"Gill, David",D,100.00%,2010
274,IL16,"Manzullo, Donald A.",R,100.00%,2010
275,IL16,"Gaulrapp, George W.",D,100.00%,2010
276,IL17,"Schilling, Bobby",R,100.00%,2010
277,IL17,"Hare, Phil",D,100.00%,2010
278,IL18,"Schock, Aaron",R,100.00%,2010
279,IL18,"Hirner, Deirdre ""DK""",D,54.19%,2010
280,IL19,"Shimkus, John M.",R,85.34%,2010
281,IL19,"Bagwell, Tim",D,100.00%,2010
282,ILS - FULL TERM,"Kirk, Mark Steven",R,56.63%,2010
283,ILS - FULL TERM,"Giannoulias, Alexander ""Alexi""",D,38.93%,2010
284,IN01,"Visclosky, Peter J. ",D,100.00%,2010
285,IN01,"Leyva, Mark",R,24.66%,2010
286,IN02,"Donnelly, Joe",D,100.00%,2010
287,IN02,"Walorski, Jackie  ",R,60.83%,2010
288,IN03 - FULL TERM,"Hayhurst, Thomas",D,79.84%,2010
289,IN04,"Rokita, Todd",R,42.36%,2010
290,IN04,"Sanders, David",D,51.55%,2010
291,IN05,"Burton, Dan",R,29.67%,2010
292,IN05,"Crawford, Tim",D,60.88%,2010
293,IN06,"Pence, Mike",R,100.00%,2010
294,IN06,"Welsh, Barry ",D,62.95%,2010
295,IN07,"Carson, Andre D.",D,89.05%,2010
296,IN07,"Scott, Marvin B.",R,44.34%,2010
297,IN08,"Bucshon, Larry D. ",R,32.74%,2010
298,IN08,"VanHaaften, W. Trent",D,100.00%,2010
299,IN09,"Young, Todd",R,34.57%,2010
300,IN09,"Hill, Baron P.",D,69.58%,2010
302,IA01,"Braley, Bruce",D,99.43%,2010
303,IA01,"Lange, Benjamin M.",R,52.78%,2010
304,IA02,"Loebsack, Dave ",D,99.12%,2010
305,IA02,"Miller-Meeks, Mariannette",R,50.69%,2010
306,IA03,"Boswell, Leonard L. ",D,97.49%,2010
307,IA03,"Zaun, Brad ",R,42.12%,2010
308,IA04,"Latham, Tom ",R,99.38%,2010
309,IA04,"Maske, Bill ",D,99.54%,2010
310,IA05,"King, Steve  ",R,99.22%,2010
311,IA05,"Campbell, Matthew ",D,75.69%,2010
314,KY01,"Whitfield, Edward ",R,100%,2010
315,KY01,"Hatchett, Charles Kendall",D,100%,2010
316,KY02,"Guthrie, S. Brett",R,100%,2010
317,KY02,"Marksberry, Ed",D,100%,2010
318,KY03,"Yarmuth, John",D,100%,2010
319,KY03,"Lally, Todd",R,51.90%,2010
320,KY04,"Davis, Geoff",R,100%,2010
321,KY04,"Waltz, John",D,100%,2010
322,KY05,"Rogers, Harold ""Hal""",R,100%,2010
